_id,id,name,start_neighborhood,end_neighborhood,built,year_rehab,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
129,570392529,Tripoli Street Bridge,East Allegheny,,1987,1987,https://tools.wprdc.org/images/pittsburgh/bridges/Tripoli_Street_Bridge.jpg,East Allegheny,1,23,42003563200,1,23,1,1-5,40.45649855,-79.99813665
29,1690227401,Chestnut Street Bridge,East Allegheny,,1988,1988,https://tools.wprdc.org/images/pittsburgh/bridges/Chestnut_Street_Bridge.jpg,East Allegheny,1,23,42003563200,1,23,1,1-5,40.45461447,-79.99427797
67,1663635743,Howard Street Pedestrian Bridge,Fineview,Spring Hill - City View,1989,1989,https://tools.wprdc.org/images/pittsburgh/bridges/Howard_Street_Pedestrian_Bridge.jpg,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46251537,-79.9994989
112,2122763222,Shadeland Avenue Bridge,Marshall-Shadeland,Brighton Heights,1993,1993,https://tools.wprdc.org/images/pittsburgh/bridges/Shadeland_Avenue_Bridge.jpg,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.47607267,-80.03268963
27,2094754790,Charles J. Lieberth Pedestrian Bridge,Troy Hill,,1998,1998,https://tools.wprdc.org/images/pittsburgh/bridges/Charles_J._Lieberth_Pedestrian_Bridge.jpg,Troy Hill,1,23,42003240600,1,23,1,1-5,40.45629925,-79.99132211
59,2137855309,Gateway Boulevard Railroad Tunnel,Southside Flats,,2000,2000,https://tools.wprdc.org/images/pittsburgh/bridges/Gateway_Boulevard_Railroad_Tunnel.jpg,South Side Flats,3,16,42003160900,4,16,3,4-24,40.42701161,-79.96268687
114,881766913,South 10th Street Pedestrian Bridge,Southside Flats,Southside Slopes,2001,2001,https://tools.wprdc.org/images/pittsburgh/bridges/South_10th_Street_Pedestrian_Bridge.jpg,South Side Slopes,3,17,42003170600,4,17,3,4-24,40.42635266,-79.98862734
116,1337504193,South 15th Street Pedestrian Bridge,Southside Flats,Southside Slopes,2001,2001,https://tools.wprdc.org/images/pittsburgh/bridges/South_15th_Street_Pedestrian_Bridge.jpg,South Side Slopes,3,17,42003170600,4,17,3,4-24,40.42537737,-79.98356874
14,1395820472,Beechwood Boulevard Bridge,Greenfield,Squirrel Hill South,2017,2017,,Greenfield,5,15,42003151700,3,15,4,2-12,40.42838791,-79.93793296
12,1097386435,Baldwick Road Bridge 3,Oakwood,,,,,Oakwood,2,28,42003562800,5,28,6,1-19,40.42655341,-80.05703532
1,2002832442,10th St Bypass,Central Business District,,,,https://tools.wprdc.org/images/pittsburgh/bridges/10th_St_Bypass.jpg,Central Business District,6,2,42003020100,6,2,2,1-3,40.44644178,-79.99653381
117,1886402445,South 27th Street Railroad Tunnel,Southside Flats,,,,,South Side Flats,3,16,42003160900,4,16,3,4-24,40.42868381,-79.96526178
23,204581168,Cape May Avenue Pedestrian Bridge,Beechview,,,,,Beechview,4,19,42003191600,5,19,6,4-28,40.41112866,-80.02199527
5,2047190591,Allegheny Channel Boardwalk,Troy Hill,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Allegheny_Channel_Boardwalk.jpg,Troy Hill,1,24,42003240600,1,24,1,1-1,40.46657774,-79.97772828
37,1795072982,Eastside Pedestrian Bridge,Shadyside,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Eastside_Pedestrian_Bridge.jpg,Shadyside,8,7,42003070500,2,7,4,3-11,40.45852554,-79.92737754
40,1070906249,Eliza Furnace Trail 2nd Avenue,Bluff,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Eliza_Furnace_Trail_2nd_Avenue.jpg,Bluff,6,1,42003010300,3,1,2,2-2,40.43501126,-79.9829422
41,986903308,Eliza Furnace Trail Bates Street,South Oakland,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Eliza_Furnace_Trail_Bates_Street.jpg,South Oakland,3,4,42003980800,3,4,4,2-2,40.43131903,-79.95901153
43,831241962,Eliza Furnace Trail Greenfield Avenue,Hazelwood,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Eliza_Furnace_Trail_Greenfield_Avenue.jpg,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42488036,-79.95272041
44,12281037,Eliza Furnace Trail Maurice Street Bridge,South Oakland,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Eliza_Furnace_Trail_Maurice_Street_Bridge.jpg,South Oakland,6,4,42003980800,3,4,4,2-2,40.43491459,-79.9668174
45,451697024,Eliza Furnace Trail Swinburne Street 1,Hazelwood,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Eliza_Furnace_Trail_Swinburne_Street_1.jpg,South Oakland,3,4,42003980800,3,4,4,2-12,40.42611261,-79.95344863
46,497696193,Eliza Furnace Trail Swinburne Street 2,Hazelwood,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Eliza_Furnace_Trail_Swinburne_Street_2.jpg,Hazelwood,3,4,42003980800,3,4,4,2-12,40.42601256,-79.95361091
42,2030557349,Eliza Furnace Trail Brady Street,Bluff,South Oakland,,,https://tools.wprdc.org/images/pittsburgh/bridges/Eliza_Furnace_Trail_Brady_Street.jpg,Bluff,6,4,42003010300,3,4,2,2-2,40.43618003,-79.9729617
56,1317416454,Frick Park Access Road Bridge,Squirrel Hill South,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Frick_Park_Access_Road_Bridge.jpg,Squirrel Hill South,5,14,42003141000,3,14,4,2-16,40.43090733,-79.9001631
63,826965681,Hillburn Street Pedestrian Bridge,Hays,,,,,Hays,5,31,42003562900,3,31,4,4-20,40.38328812,-79.93144885
64,204423365,Hot Metal Pedestrian Bridge,South Oakland,Southside Flats,,,https://tools.wprdc.org/images/pittsburgh/bridges/Hot_Metal_Pedestrian_Bridge.jpg,,3,,42003160900,,,,,40.42856368,-79.96037046
66,1432148758,Hot Metal Street Pedestrian Bridge 2nd Avenue,South Oakland,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Hot_Metal_Street_Pedestrian_Bridge_2nd_Avenue.jpg,South Oakland,3,4,42003980800,3,4,4,2-2,40.43009435,-79.95782821
54,378927944,Fort Duquesne Pedestrian Bridge,Central Business District,North Shore,,,https://tools.wprdc.org/images/pittsburgh/bridges/Fort_Duquesne_Pedestrian_Bridge.jpg,,6,,42003981200,,,,,40.44428398,-80.00946845
68,1044698336,Lake Elizabeth Bridge 1,Allegheny Center,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Lake_Elizabeth_Bridge_1.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45333437,-80.01235478
69,1463062856,Lake Elizabeth Bridge 2,Allegheny Center,,,,https://tools.wprdc.org/images/pittsburgh/bridges/Lake_Elizabeth_Bridge_2.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45356806,-80.01197525
