_id,id,name,street,to_street,year_constructed,public_view,inactive,height,length,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
70,403328124,Brackenridge St 4,BRACKENRIDGE ST,,,True,False,,475.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Brackenridge_St_4.jpg,Terrace Village,6,5,42003051000,3,5,2,2-10,40.4458054,-79.9680676
72,1211870800,Brahm St,BRAHM ST,,,True,False,,1080.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Brahm_St.jpg,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.4649429,-79.99860908
73,2135304001,Braid Way,BRAID WAY,,1995,True,False,4.0,16.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Braid_Way.jpg,Overbrook,4,32,42003320700,4,32,3,4-25,40.38762921,-79.99887012
270,616478280,Norte Way,NORTE WAY,,1990,True,False,5.5,118.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Norte_Way.jpg,Arlington,3,16,42003561600,4,16,3,4-8,40.41740317,-79.9776776
75,766151141,Brighton Rd,BRIGHTON RD,,1931,True,False,20.0,207.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Brighton_Rd.jpg,Perry South,6,25,42003261400,1,25,1,1-9,40.46294664,-80.02032307
76,974111279,Brookline Blvd,BROOKLINE BLVD,,1948,True,False,10.0,148.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Brookline_Blvd.jpg,Brookline,4,19,42003191900,4,19,6,4-26,40.3961842,-80.02404544
77,1268989433,Brookline Blvd at Jillson Ave,BROOKLINE BLVD,,1947,True,False,10.0,147.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Brookline_Blvd_at_Jillson_Ave.jpg,Brookline,4,19,42003191900,4,19,6,4-26,40.39562635,-80.02568739
78,1506861117,Brookline Blvd at Kenilworth St,BROOKLINE BLVD,,1947,True,False,7.0,154.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Brookline_Blvd_at_Kenilworth_St.jpg,Brookline,4,19,42003191900,4,19,6,4-26,40.39583537,-80.02681702
79,1244044693,Brosville St,BROSVILLE ST,,1984,True,False,6.0,165.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Brosville_St.jpg,Allentown,3,18,42003180300,4,18,3,4-6,40.42222688,-79.99061949
81,20485735,Burchfield St,BURCHFIELD AVE,,,True,False,,210.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Burchfield_St.jpg,Squirrel Hill South,5,14,42003141400,3,14,4,2-21,40.42702217,-79.92615097
82,1990356070,Butler St,BUTLER ST,,1939,True,False,15.0,1100.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Butler_St.jpg,Morningside,7,10,42003101400,2,10,5,3-7,40.48933342,-79.92915417
337,1230385021,Shelly St 3,SHELLY ST,,,True,False,,190.0,,South Side Slopes,3,16,42003160800,4,16,3,4-24,40.42282083,-79.96842097
282,1151379911,Overbeck St 1,OVERBECK ST,,,True,False,,140.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Overbeck_St_1.jpg,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46323774,-79.99585317
74,1578426236,Brereton St,BRERETON ST,,1994,True,False,4.0,193.0,,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45670523,-79.96546091
84,994397443,California Ave,CALIFORNIA AVE,KUNKLE AVE,1931,True,False,5.0,720.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/California_Ave.jpg,Manchester,6,21,42003210700,1,21,1,1-9,40.45944161,-80.02467462
